✨ Hold at least 10 MUNDI token ✨ Share an extra $10,000 in MUNDI!	
Address	MUNDI Reward
67Ys9zyVfko6fz9L9qgnDKxxiDk4FsUj3HbdQq3BQpvL	250
GJeyjQs8EXJgR8PY8EQVDeDbvB2p9Qmdj2kKczSqDopU	250
E1hgKp7PkbsoT1XNPvMj8djWT9U7v1D7Px6HNXrDQ8qD	250
9bXVxr94skFaxGEjhix4zBPE3j7KCSJ4zs3Y4uts4okW	250
5iwUngGUKZ9AjjcsKQjBKk9Ze1PaCFTfkwQei3wzsptK	250
DBnXjnPdAiaou6ygVixdje8cPRwcsZ92WQSvrPBcgJ8C	250
CghsAw8ep4WQf2hyfnF74k7WjmwzmdphmrMuo5UrN8Cw	250
4NA1sM4b6nB5sCyo5of6F7oAQ2xbwxbHQgtv8FeUgtcH	250
4e4gHuQqYHMy6tj1ofrQrb2t7oSXs8prqc9oztfoMjs5	250
ASnFg6vioQ6ELUzvgWrYf44z39oMEYjidtWYnj5C3BCs	250
DH6totBTiRVzeNrF77kjrdwdbmR6CYhWsEBDNjB6kNAZ	250
EmgjjwegE2aLexvY4YrYWiEh9cbR273L8wKMauArAwsq	250
7cVxvWenLA3nfP66YrJCfEHX1jpdfVJEs1iLoLREGzwv	250
5nvh99RPc1JPiUirEisFgNjfJDwiXkqEXrVMtEbZnuVe	250
DWvXAu7sS4vS99DZM84qeBWrWFHuzhFLs17GBqwGpWih	250
4UU2cLjcei9pSV4UbfM2FXZXfDSjQYca1qYHgg6jRBBk	250
6YS4NM6RQMt2VEQrtJuqf1MFQgSN78Y3j5z4cde4ouRd	250
8JJofdLB3mGoqa9VPAGLn9acXzfh73Uvit13L6jo836L	250
FSuntnVvAJRsfEnpoUv1aMVste63VB3WpetXDYassLiY	250
AYrs82oLkZjDMUHPMoUHzLWcwrAvHx9jCccB429HwSyQ	250
5bC6Kuwqp7ZJREd1xMDZR8yE7vbHRtHogaCZZoMCnbsq	250
G4EAhjXfD3guvjvW39dT7WoXwEJDH1Vtr7BgLcovsx55	250
3mqGt6tkZfYPmUaNZEGc4F519ksaw9k1HMRvL37vdF9w	250
GEHpehXyGuxyfLmFqZV2R1GXgEq6sNgNpyT78x7PpnLr	250
ETgnq6Z2aTMErTmFyppucymUNpp7twfmfWhcPGx3Yx7R	250
7dRXpc2Se5XSep6BuHrAdUaGFCU2ZiELBTRsmrXBFsjW	250
Bp2rubzjf8dTwB9Pp9jv2m5ENMzMjEYB4xfC53JXhqPp	250
BRZVjHLmTB5toPhbxqvzgeLtYYJv815kYD4kEP8ieWnn	250
3kAT5Fv11BnmDmbHcdrjttcJdUV2t6Pq37iArS8BM93c	250
A4KLj4gW3qrkgEPSoSY2dsYFxYPQeumLuyLmXKLAFA9t	250
